timestampseconds;Corriente_Salida_A;Frecuencia_Hz;Voltaje_BusDC_V;Horometro_h
3/01/2024 18:20;0;0;636.0533333;1343.466675
3/01/2024 18:25;0;0;636.4433333;1343.466675
3/01/2024 18:30;0;0;637.8466667;1343.466675
3/01/2024 18:35;0;0;637.3066667;1343.466675
3/01/2024 18:40;0;0;635.51;1343.466675
3/01/2024 18:45;0;0;635.89;1343.466675
3/01/2024 18:50;0;0;637.3066667;1343.466675
3/01/2024 18:55;0;0;635.3566667;1343.466675
3/01/2024 19:00;0;0;634.3;1343.466675
3/01/2024 19:05;0;0;640.8533333;1343.466675
3/01/2024 19:10;0;0;641.5;1343.466675
3/01/2024 19:15;0;0;641.35;1343.466675
3/01/2024 19:20;0;0;640.6133333;1343.466675
3/01/2024 19:25;0;0;640.3;1343.466675
3/01/2024 19:30;0;0;640.24;1343.466675
3/01/2024 19:35;0;0;639.71;1343.466675
3/01/2024 19:40;0;0;639.8;1343.466675
3/01/2024 19:45;0;0;639.8;1343.466675
3/01/2024 19:50;0;0;640.09;1343.466675
3/01/2024 19:55;0;0;640.56;1343.466675
3/01/2024 20:00;37.3390005;13.89933311;641.8666667;1343.472053
3/01/2024 20:05;149.9259997;59.29999924;647.4366667;1343.540575
3/01/2024 20:10;142.0459995;59.29999924;651.6866667;1343.62389
3/01/2024 20:15;151.3236666;59.29999924;646.1433333;1343.707201
3/01/2024 20:20;151.8106683;59.29999924;644.3133333;1343.790575
3/01/2024 20:25;150.8496659;59.29999924;643.21;1343.87389
3/01/2024 20:30;150.7666672;59.29999924;643.5666667;1343.961662
3/01/2024 20:35;149.8983327;59.29999924;643.45;1344.056962
3/01/2024 20:40;149.8583346;59.29999924;643.7666667;1344.140273
3/01/2024 20:45;149.5166672;59.29999924;643.9;1344.223598
3/01/2024 20:50;149.4366676;59.29999924;643.95;1344.306962
3/01/2024 20:55;149.2566655;59.29999924;644.1833333;1344.390273
3/01/2024 21:00;148.8516668;59.29999924;644.2566667;1344.473376
3/01/2024 21:05;148.7389987;59.29999924;645.21;1344.556685
3/01/2024 21:10;138.6390009;59.29999924;651.81;1344.639995
3/01/2024 21:15;156.1550012;59.29999924;645.45;1344.72332
3/01/2024 21:20;154.7810004;59.29999924;644.68;1344.806685
3/01/2024 21:25;157.2740001;59.29999924;644.4;1344.889995
3/01/2024 21:30;154.7673342;59.29999924;644.9333333;1344.981227
3/01/2024 21:35;155.9340003;59.29999924;644.6;1345.073067
3/01/2024 21:40;156.671668;59.29999924;645.0766667;1345.156383
3/01/2024 21:45;156.1663327;59.29999924;644.8733333;1345.239717
3/01/2024 21:50;155.8396667;59.29999924;644.7;1345.323067
3/01/2024 21:55;154.810334;59.29999924;644.8466667;1345.406383
